Product Name,Price,Rating,Number of Reviews,Prime,Availability,URL
"500W Pure Sine Wave Power Inverter for Ryobi 18V Battery, 4-Ports DC 18V to AC(2 Outlets) 120V Car Charger Plug Inverter Adapter Converter for Camping, Travel, Emergencies(Tool Only)",199.,N/A,N/A,No,"500W Pure Sine Wave Power Inverter for Ryobi 18V Battery, 4-Ports DC 18V to AC(2 Outlets) 120V Car Charger Plug Inverter Adapter Converter for Camping, Travel, Emergencies(Tool Only)",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfbXRmOjMwMTA0MDI1NzkyMjkwMjo6MDo6&url=%2FAdisipsoarin-Inverter-Battery-Converter-Emergencies%2Fdp%2FB0FGJPRLF8%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8.0Ah 2Pack Lithium Compatible with Craftsman 20V Cordless Power Tools Replacement for Craftsman 20V Battery,46.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfbXRmOjMwMTE2NTMxNzQ0MDkwMjo6MDo6&url=%2FTHISSENERGYSYSTEM-Replacement-Craftsman-CMCB202-2-Compatible%2Fdp%2FB0DB513212%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Cordless Impact Wrench 1/2"" Compatible with DeWalt 20V Battery, 1700 Ft-lbs (2300 Nm) High Torque Impact Driver, Electric Impact Gun with 4 Modes & LED Light for Car, Truck(Bare Tool)",139.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfbXRmOjMwMDg0NTgzMzIwNDkwMjo6MDo6&url=%2FCordless-Battery-Brushless-Electric-Included%2Fdp%2FB0DQ5BCVL4%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Dunatou Power Tool Organizer Cart Heavy Duty 4 Tier Rolling Tool Cart Garage Storage with Drill Rack Shelf Open Tool Chest Organizer with Wheels Workshop and Garage Ideas for Men or Dad (Rustic Brown),49.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfbXRmOjMwMDk4MjUyOTkyNDcwMjo6MDo6&url=%2FDunatou-Organizer-Rolling-Storage-Workshop%2Fdp%2FB0FL78JQWB%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"DEWALT 20V Max Cordless Drill Driver Set, 2 Speed, High Performance Motor, Includes 2 XR 1.3Ah Li-Ion Batteries, Charger and Contractor Bag (DCD771C2)",129.,N/A,N/A,No,Check availability,https://www.amazon.com/DEWALT-Performance-Batteries-Contractor-DCD771C2/dp/B00ET5VMTU/ref=sr_1_15?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-15
"DEWALT 20V MAX Cordless Drill and Impact Driver, Power Drill Brushless 2-Tool Power Tool Combo Kit, Includes 2 Batteries, Charger and Bag (DCK277D2)",227.,N/A,N/A,No,Only 3 left in stock - order soon.,https://www.amazon.com/DEWALT-Cordless-Batteries-Included-DCK277D2/dp/B0C3PQHGR7/ref=sr_1_16?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-16
"DEWALT Cordless Screwdriver, 4V USB Rechargeable Electric Screwdriver with 12 pcs Screwdriver Bit Set, LED Light, FLEXDRIVE Control, Compact, Ergonomic (DWHT66719)",83.,N/A,N/A,No,Check availability,https://www.amazon.com/DEWALT-Screwdriver-FLEXDRIVE-Screwdriving-DWHT66719/dp/B0DJBQ9ZBF/ref=sr_1_17?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-17
Power Drill Cordless: DEKOPRO Cordless Drill 20V Electric Power Drills Set Tool Drills Cord-less Set with Battery and Charger,35.,N/A,N/A,No,Check availability,https://www.amazon.com/Power-Drill-Cordless-Electric-Battery/dp/B0CC1RHJY1/ref=sr_1_18?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-18
"500W Pure Sine Wave Power Inverter for DeWalt 20V Battery, 2-Ports DC 20V to AC(2 Outlets) 120V Car Charger Plug Inverter Adapter Converter for Camping, Travel, Emergencies(Tool Only)",109.,N/A,N/A,No,"500W Pure Sine Wave Power Inverter for DeWalt 20V Battery, 2-Ports DC 20V to AC(2 Outlets) 120V Car Charger Plug Inverter Adapter Converter for Camping, Travel, Emergencies(Tool Only)",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfbXRmOjMwMDkyNzY1ODY0MDEwMjo6MDo6&url=%2FAdisipsoarin-Inverter-Battery-Converter-Emergencies%2Fdp%2FB0FGJF78VB%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Cordless Rotary Tool Kit,12 Speeds, 25000 PRM, Cordless Rotary Tool 66 Pcs Accessories Ring Light for Carving, Cutting, Drilling, Engraving, Sanding, Polishing and DIY Creations",35.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfbXRmOjMwMTA0ODQyMTQ2MjMwMjo6MDo6&url=%2FCordless-Accessories-Engraving-Polishing-Creations%2Fdp%2FB0FMF47NR8%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
